145			199.27.79.193	192.168.0.15	TCP
146			199.27.79.193	192.168.0.15	TCP
147			199.27.79.193	192.168.0.15	TCP
148			199.27.79.193	192.168.0.15	TCP
149			199.27.79.193	192.168.0.15	TCP
150			199.27.79.193	192.168.0.15	TCP
151			199.27.79.193	192.168.0.15	TCP
152			199.27.79.193	192.168.0.15	TCP
153			192.168.0.15	199.27.79.193	TCP
154			192.168.0.15	199.27.79.193	TCP
155			192.168.0.15	199.27.79.193	TCP
156			192.168.0.15	199.27.79.193	TCP
157			192.168.0.15	199.27.79.193	TCP
158			192.168.0.15	199.27.79.193	TCP
159			192.168.0.15	199.27.79.193	TCP
160			192.168.0.15	8.8.8.8	DNS
161			8.8.8.8	192.168.0.15	DNS
162			192.168.0.15	199.27.79.193	TCP
163			199.27.79.193	192.168.0.15	TCP
164			192.168.0.15	199.27.79.193	TCP
165			192.168.0.15	8.8.8.8	DNS
166			192.168.0.15	199.27.79.193	TCP
167			192.168.0.15	199.27.79.193	HTTP
168			8.8.8.8	192.168.0.15	DNS
169			192.168.0.15	31.13.70.1	TCP
170			199.27.79.193	192.168.0.15	TCP
171			199.27.79.193	192.168.0.15	TCP
172			199.27.79.193	192.168.0.15	TCP
173			199.27.79.193	192.168.0.15	TCP
174			199.27.79.193	192.168.0.15	TCP
175			199.27.79.193	192.168.0.15	TCP
176			199.27.79.193	192.168.0.15	TCP
177			199.27.79.193	192.168.0.15	TCP
178			199.27.79.193	192.168.0.15	TCP
179			199.27.79.193	192.168.0.15	TCP
180			192.168.0.15	199.27.79.193	TCP
181			192.168.0.15	199.27.79.193	TCP
182			192.168.0.15	199.27.79.193	TCP
183			192.168.0.15	199.27.79.193	TCP
184			192.168.0.15	199.27.79.193	TCP
185			31.13.70.1	192.168.0.15	TCP
186			192.168.0.15	31.13.70.1	TCP
187			192.168.0.15	31.13.70.1	TLSv1
188			199.27.79.193	192.168.0.15	TCP
189			199.27.79.193	192.168.0.15	TCP
190			199.27.79.193	192.168.0.15	TCP
191			199.27.79.193	192.168.0.15	TCP
192			199.27.79.193	192.168.0.15	TCP
193			199.27.79.193	192.168.0.15	TCP
194			199.27.79.193	192.168.0.15	TCP
195			199.27.79.193	192.168.0.15	TCP
196			192.168.0.15	199.27.79.193	TCP
197			199.27.79.193	192.168.0.15	TCP
198			192.168.0.15	199.27.79.193	TCP
199			192.168.0.15	199.27.79.193	TCP
200			192.168.0.15	199.27.79.193	TCP
201			192.168.0.15	199.27.79.193	TCP
202			199.27.79.193	192.168.0.15	TCP
203			199.27.79.193	192.168.0.15	TCP
204			199.27.79.193	192.168.0.15	TCP
205			192.168.0.15	199.27.79.193	TCP
206			192.168.0.15	199.27.79.193	TCP
207			192.168.0.15	199.27.79.193	TCP
208			192.168.0.15	199.27.79.193	TCP
209			192.168.0.15	199.27.79.193	TCP
210			192.168.0.15	199.27.79.193	TCP
211			192.168.0.15	199.27.79.193	TCP
212			31.13.70.1	192.168.0.15	TCP
213			31.13.70.1	192.168.0.15	TLSv1.2
214			192.168.0.15	31.13.70.1	TCP
215			192.168.0.15	31.13.70.1	TLSv1.2
216			192.168.0.15	31.13.70.1	TLSv1.2
217			192.168.0.15	31.13.70.1	TLSv1.2
218			199.27.79.193	192.168.0.15	TCP
219			199.27.79.193	192.168.0.15	TCP
220			192.168.0.15	199.27.79.193	TCP
221			192.168.0.15	199.27.79.193	TCP
222			199.27.79.193	192.168.0.15	TCP
223			199.27.79.193	192.168.0.15	TCP
224			192.168.0.15	199.27.79.193	TCP
225			199.27.79.193	192.168.0.15	TCP
226			192.168.0.15	199.27.79.193	TCP
227			199.27.79.193	192.168.0.15	TCP
228			199.27.79.193	192.168.0.15	TCP
229			199.27.79.193	192.168.0.15	TCP
230			199.27.79.193	192.168.0.15	TCP
231			192.168.0.15	199.27.79.193	TCP
232			192.168.0.15	199.27.79.193	TCP
233			192.168.0.15	199.27.79.193	TCP
234			192.168.0.15	199.27.79.193	TCP
235			192.168.0.15	199.27.79.193	TCP
236			31.13.70.1	192.168.0.15	TCP
237			31.13.70.1	192.168.0.15	TCP
238			31.13.70.1	192.168.0.15	TCP
239			199.27.79.193	192.168.0.15	TCP
240			199.27.79.193	192.168.0.15	TCP
241			199.27.79.193	192.168.0.15	TCP
242			192.168.0.15	199.27.79.193	TCP
243			199.27.79.193	192.168.0.15	TCP
244			199.27.79.193	192.168.0.15	TCP
245			199.27.79.193	192.168.0.15	TCP
246			199.27.79.193	192.168.0.15	TCP
247			199.27.79.193	192.168.0.15	TCP
248			199.27.79.193	192.168.0.15	TCP
249			199.27.79.193	192.168.0.15	TCP
